"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","198.46","205.00","214.34","194.43","172.20M","-6.53%"
"01-02-2026","212.33","188.81","216.45","182.55","672.42M","9.94%"
"01-01-2026","193.13","180.60","202.99","177.33","640.07M","7.25%"
"01-12-2025","180.08","169.00","181.40","160.06","536.23M","7.22%"
"01-11-2025","167.96","182.40","184.10","165.08","472.42M","-8.14%"
"01-10-2025","182.84","169.00","186.94","166.13","565.49M","8.34%"
"01-09-2025","168.77","154.48","174.44","153.70","491.66M","9.25%"
"01-08-2025","154.48","157.93","162.76","152.51","436.05M","-2.19%"
"01-07-2025","157.94","160.01","168.78","156.56","523.20M","-1.14%"
"01-06-2025","159.76","159.00","163.30","149.80","480.85M","-0.78%"
"01-05-2025","161.02","140.00","165.55","139.45","749.65M","14.95%"
"01-04-2025","140.08","152.07","156.25","125.30","897.48M","-9.18%"
"01-03-2025","154.24","137.00","160.10","134.31","810.17M","12.42%"
"01-02-2025","137.20","135.00","141.60","127.81","602.26M","1.92%"
"01-01-2025","134.62","138.10","139.73","122.62","648.08M","-2.48%"
"01-12-2024","138.05","144.11","152.50","136.09","618.88M","-4.49%"
"01-11-2024","144.54","149.66","156.92","137.25","787.96M","-2.71%"
"01-10-2024","148.56","169.49","169.99","144.43","890.30M","-11.86%"
"01-09-2024","168.55","153.90","170.18","147.62","1.01B","10.34%"
"01-08-2024","152.76","168.20","168.95","142.35","1.07B","-7.60%"
"01-07-2024","165.33","174.50","178.19","155.00","820.68M","-4.99%"
"01-06-2024","174.01","173.25","184.60","148.15","1.02B","4.07%"
"01-05-2024","167.20","165.00","177.70","158.05","1.02B","1.33%"
"01-04-2024","165.00","156.80","170.70","156.50","1.12B","5.87%"
"01-03-2024","155.85","143.00","159.15","138.35","1.40B","10.65%"
"01-02-2024","140.85","136.40","147.40","134.10","834.15M","3.60%"
"01-01-2024","135.95","140.00","140.95","128.20","844.49M","-2.61%"
"01-12-2023","139.60","128.90","141.25","127.85","751.56M","9.15%"
"01-11-2023","127.90","119.00","128.85","114.60","561.36M","7.71%"
"01-10-2023","118.75","129.00","129.10","118.40","516.38M","-7.87%"
"01-09-2023","128.90","123.50","135.00","123.40","854.77M","4.88%"
"01-08-2023","122.90","123.55","124.15","114.70","691.72M","-0.20%"
"01-07-2023","123.15","112.25","123.85","111.25","784.56M","9.96%"
"01-06-2023","112.00","105.90","115.60","105.80","710.12M","5.86%"
"01-05-2023","105.80","108.00","111.90","104.05","667.72M","-1.99%"
"01-04-2023","107.95","105.10","110.40","103.20","490.65M","3.30%"
"01-03-2023","104.50","104.70","109.15","101.55","1.02B","0.53%"
"01-02-2023","103.95","120.10","124.15","103.55","971.22M","-13.16%"
"01-01-2023","119.70","114.40","124.30","113.75","1.12B","6.26%"
"01-12-2022","112.65","108.70","116.10","101.65","1.03B","4.64%"
"01-11-2022","107.65","98.55","110.00","98.55","927.55M","6.01%"
"01-10-2022","101.55","99.60","104.65","98.00","732.76M","2.27%"
"01-09-2022","99.30","107.00","110.40","95.00","1.44B","-8.31%"
"01-08-2022","108.30","110.50","113.70","103.25","1.34B","0.65%"
"01-07-2022","107.60","86.69","109.30","83.81","1.91B","24.10%"
"01-06-2022","86.71","106.55","109.28","82.70","1.97B","-17.87%"
"01-05-2022","105.57","125.70","133.00","99.18","2.13B","-16.95%"
"01-04-2022","127.11","131.00","138.67","121.04","1.19B","-2.77%"
"01-03-2022","130.72","122.07","136.60","121.86","2.08B","7.08%"
"01-02-2022","122.07","110.49","126.50","106.71","1.89B","12.45%"
"01-01-2022","108.56","111.50","124.50","106.13","1.37B","-2.33%"
"01-12-2021","111.14","109.20","119.90","106.61","1.32B","3.76%"
"01-11-2021","107.12","134.00","137.29","106.30","1.90B","-18.60%"
"01-10-2021","131.60","127.50","142.65","126.50","1.64B","2.10%"
"01-09-2021","128.89","145.13","147.60","123.29","2.09B","-11.13%"
"01-08-2021","145.02","144.60","153.45","131.07","3.20B","1.11%"
"01-07-2021","143.43","117.19","148.18","113.02","2.38B","22.95%"
"01-06-2021","116.66","112.00","119.20","105.03","2.94B","3.64%"
"01-05-2021","112.57","103.19","124.68","101.85","5.32B","8.86%"
"01-04-2021","103.40","82.10","105.26","81.90","5.05B","27.36%"
"01-03-2021","81.18","72.40","82.35","68.13","4.20B","13.52%"
"01-02-2021","71.51","60.49","75.30","59.74","4.71B","18.99%"
"01-01-2021","60.10","64.50","73.15","59.60","4.33B","-6.63%"
"01-12-2020","64.36","59.20","65.35","57.69","3.59B","11.48%"
"01-11-2020","57.74","41.00","58.24","39.87","4.62B","40.63%"
"01-10-2020","41.06","36.43","42.60","36.25","3.75B","14.12%"
"01-09-2020","35.97","41.39","44.37","34.28","3.21B","-12.89%"
"01-08-2020","41.30","36.47","44.20","36.21","3.45B","12.75%"
"01-07-2020","36.63","32.90","37.85","32.03","3.11B","12.12%"
"01-06-2020","32.67","30.20","35.08","30.00","3.67B","10.67%"
"01-05-2020","29.52","28.50","29.86","26.25","2.42B","-1.04%"
"01-04-2020","29.83","26.60","30.45","25.10","2.82B","10.65%"
"01-03-2020","26.96","39.37","39.40","25.08","4.06B","-29.38%"
"01-02-2020","38.17","43.15","48.72","37.50","2.86B","-12.98%"
"01-01-2020","43.87","47.30","50.60","43.65","2.72B","-7.06%"
"01-12-2019","47.21","42.49","47.63","38.90","3.54B","10.42%"
"01-11-2019","42.75","38.01","43.43","37.80","3.76B","12.34%"
"01-10-2019","38.06","36.20","39.97","32.03","2.82B","5.56%"
"01-09-2019","36.05","34.10","38.88","32.73","2.59B","4.52%"
"01-08-2019","34.49","42.75","43.19","32.22","2.82B","-20.17%"
"01-07-2019","43.21","50.99","51.49","40.62","1.84B","-14.34%"
"01-06-2019","50.44","48.90","51.65","46.37","1.79B","3.30%"
"01-05-2019","48.83","55.41","56.17","45.51","2.46B","-12.37%"
"01-04-2019","55.72","53.00","56.08","50.90","1.84B","6.95%"
"01-03-2019","52.10","50.35","53.19","50.20","1.25B","4.11%"
"01-02-2019","50.04","47.70","51.23","45.20","2.04B","4.98%"